blurb,name,usd_pledged,url,Weight
"Miniature, Scientifically Accurate Sculptures, Pendants, and Rings of Prehistoric Beasts and Dinosaurs Cast in Precious Metal.",Prehistoric & Dinosaur Skulls & Skeletons in Precious Metal,39293,https://www.kickstarter.com/projects/primordialprofiles/prehistoric-and-dinosaur-skulls-and-skeletons-in-p,6.22819E-05
A deck of playing cards inspired by the villains of Sir Arthur Conan Doyles Sherlock Holmes.,Sherlock Holmes - Moriarty Edition Reprint - Playing Cards,20262,https://www.kickstarter.com/projects/kingswildproject/sherlock-holmes-moriarty-edition-reprint-playing-c,3.21165E-05
"A playing card series by Jackson Robinson inspired by the American Revolution, featuring both a Continentals Deck and a British deck.",The Independence - Playing cards inspired by The Revolution,116525.01,https://www.kickstarter.com/projects/kingswildproject/the-independence-playing-cards-inspired-by-the-rev,0.000184699
A fine deck of playing cards inspired by the characters and stories of Sherlock Holmes by Sir Arthur Conan Doyle,Sherlock Holmes - A playing card deck,100288.01,https://www.kickstarter.com/projects/kingswildproject/sherlock-holmes-a-playing-card-deck,0.000158963
A NEW Bicycle Playing Card Deck designed by Jackson Robinson inspired by US bank notes and currency.,Federal 52 Part 2 -  A NEW Bicycle Playing Card Deck.,188005.02,https://www.kickstarter.com/projects/kingswildproject/federal-52-part-2-a-new-bicycle-playing-card-deck,0.000298
Federal 52 - A NEW Bicycle Playing Card Deck designed by Jackson Robinson inspired by US bank notes and currency.,Federal 52 - A NEW Bicycle Playing Card Deck,149156.52,https://www.kickstarter.com/projects/kingswildproject/federal-52-a-new-bicycle-playing-card-deck,0.000236422
"Glow-in-the-dark posters, enamel pins and stickers made to spread a bit of light in these dark times. Part of Kickstarter Gold.",Kickstarter Gold: Art for Dark Times,12341,https://www.kickstarter.com/projects/safwat/kickstarter-gold-art-for-dark-times,1.95613E-05
Inappropriate (but totally awesome) letterpress printed greeting cards that dont suck as much as most other cards.,Greetings from Nowhere: (In) Appropriate Letterpressed Cards,9234.2402,https://www.kickstarter.com/projects/safwat/greetings-from-nowhere-letterpressed-holiday-cards,1.46369E-05
Bring the strange and eclectic characters of Lewis Carrolls Alice in Wonderland with you on your own wacky adventures!,Alice in Wonderland Enamel Pin Series,13211.26,https://www.kickstarter.com/projects/veeveeyan/alice-in-wonderland-enamel-pin-series,2.09407E-05
"A cozy piece of art, inspired by origami, for anyone to have at home.",bloom blanket,204335.22,https://www.kickstarter.com/projects/78643492/bloom-blanket,0.000323884
Your Pen is your best desk tool.  Now you have a place to keep it safe and handy.   These rests add beauty and class to your space!,A Pen Rest to Display your prized pens! Fits Fountain Pens,6344,https://www.kickstarter.com/projects/1075538949/a-pen-rest-to-display-your-prized-pens-fits-founta,1.00556E-05
The Looking Glass is the first desktop holographic display designed for 3D creators. No VR or AR headgear required.,The Looking Glass: A Holographic Display for 3D Creators,844621,https://www.kickstarter.com/projects/lookingglass/the-looking-glass-a-holographic-display-for-3d-cre,0.001338777
music + internet + 3D LEDS = L3D Cube.  Create and share in 3D.  Join the future!,L3D Cube: The 3D LED Cube from the Future,252678,https://www.kickstarter.com/projects/lookingglass/l3d-cube-the-3d-led-cube-from-the-future,0.000400511
"Help us bring mind-blowing, laser cut, mathematical art and design into reality.",HYBYCOZO: The Hyperspace Bypass Construction Zone,20136.93,https://www.kickstarter.com/projects/hybycozo/hybycozo-the-hyperspace-bypass-construction-zone,3.19183E-05
Reimagination of Cthulhu presented as a painted sculpture by artist Dominic Qwek,Cthulhu: Premium Bust Statue,33135,https://www.kickstarter.com/projects/161464728/cthulhu-premium-bust-statue,5.25211E-05
"Our independent saber chassis allows you to make your LED saber the way you want, anytime you want. The possibilities are endless.",OTS Sabers - Endless Customization in the Palm of Your Hand,160191,https://www.kickstarter.com/projects/1023202441/ots-sabers-endless-customization-in-the-palm-of-yo,0.000253913
A facsimile edition of an unpublished masterpiece of calligraphy and painting by Hermann Zapf.,The Hermann Zapf Sketchbook Project,80798.547,https://www.kickstarter.com/projects/1307403978/the-hermann-zapf-sketchbook-project,0.000128071
"Slow Dance makes things move in ways you never thought possible. For all those who love mystery, beauty, and wonder. Get one for $249.",Slow Dance â A Frame that Slows Down Time,567159,https://www.kickstarter.com/projects/xercyn/slow-dance-a-frame-that-slows-down-time,0.000898983
"A simple branding tool to help you define what makes you, you.",The Brand Deck,155122,https://www.kickstarter.com/projects/simplescott/the-brand-deck,0.000245878
Help bring Alex Greys world renowned Sacred Mirrors exhibition back on view by completing the construction of Entheon.,Build Entheon with Alex Grey & Allyson Grey,354917,https://www.kickstarter.com/projects/alexgreycosm/build-entheon-with-alex-grey-and-allyson-grey,0.000562566
Petite porcelain plates with calamitiesâmonkey percussionists and more.,"Dubious Musicians: Funny, Little Calamityware Plates",71012,https://www.kickstarter.com/projects/159974695/dubious-musicians-funny-little-calamityware-plates,0.000112558
A host of hungry dinosaurs enhance this porcelain platter.,Calamityware Platter: Gangâs-All-Here,100120,https://www.kickstarter.com/projects/159974695/calamityware-platter-gangs-all-here,0.000158696
Robots on top-quality porcelain mugs.,Robot Holiday-Party Mugs,19589,https://www.kickstarter.com/projects/159974695/robot-holiday-party-mugs,3.10498E-05
These deep bowls extend the Calamityware porcelain collection and graciously accommodate the wide range of foods that omnivores love.,Omnivore Bowls,105874,https://www.kickstarter.com/projects/159974695/omnivore-bowls,0.000167817
Remaking enhanced versions of the original four Calamityware dinner plates using the classy in-glaze technique this time.,Calamityware Series 1 Revisited,118528,https://www.kickstarter.com/projects/159974695/calamityware-series-1-revisited,0.000187874
Zombie poodles and pterodactyl add unexpected excitement to traditional  porcelain dinner plates.,CalamitywareâTwo new designs,68319,https://www.kickstarter.com/projects/159974695/calamitywaretwo-new-designs,0.00010829
Add thrills to the most dangerous room in your house. Surround yourself with charming and bizarre sea monsters.,Sea Monster Jamboree Shower Curtain,49845,https://www.kickstarter.com/projects/159974695/sea-monster-jamboree-shower-curtain,7.90075E-05
Jogging Sasquatch adds excitement to traditional porcelain dinner plates as Calamityware Series 3 continues.,Calamityware dinner plate 10,38372,https://www.kickstarter.com/projects/159974695/calamityware-dinner-plate-10,6.0822E-05
Calamityware continues with Series 3: Giant frogs visit traditional porcelain dinner plates.,Calamityware dinner plate 9,82402,https://www.kickstarter.com/projects/159974695/calamityware-dinner-plate-9,0.000130612
The calamity of uninvited guestsâbug-infested bowls and small plates to go with your Calamityware dinner plates.,Calamityware bowls & small plates,110023,https://www.kickstarter.com/projects/159974695/calamityware-bowls-and-small-plates,0.000174393
Vortex of calamityâa stirring addition to traditional blue dinner plates.,Calamityware dinner plate 8,48819.84,https://www.kickstarter.com/projects/159974695/calamityware-dinner-plate-8,7.73825E-05
What if the creatures in Don Moyerâs sketchbook lived in the same neighborhood? The perfect jigsaw puzzle.,Bad Neighborhood Jigsaw Puzzle,29248.119,https://www.kickstarter.com/projects/159974695/bad-neighborhood-jigsaw-puzzle,4.63601E-05
Tentacles add thrills to traditional blue dinner plates.,Calamityware dinner plate 7,63313,https://www.kickstarter.com/projects/159974695/calamityware-dinner-plate-7,0.000100355
"No matter how bad your day is going, these beautiful porcelain Calamityware mugs graciously remind you things could be much worse.",Things-Could-Be-Worse Mugs,264997.25,https://www.kickstarter.com/projects/159974695/things-could-be-worse-mugs,0.000420037
Rambunctious volcano adds thrills to traditional blue dinner plate,Calamityware dinner plate 6,56240,https://www.kickstarter.com/projects/159974695/calamityware-dinner-plate-6,8.91439E-05
Pirates discombobulate tranquility of traditional blue dinner plate.,Calamityware dinner plate 5,67725,https://www.kickstarter.com/projects/159974695/calamityware-dinner-plate-5,0.000107348
Minimalist poster designs inspired by all 3 seasons of the original Star Trek television series.,Minimal Trek,10226,https://www.kickstarter.com/projects/markgonyea/minimal-trek,1.62089E-05
Essential EDC gear with the new POCKET LUMEN LED Keychain Flashlight & the X-GRIP Titanium Tweezers - GUARANTEED FOR LIFE!,Upgrade Your EDC! |Ti Tweezers & Pocket Lumen Keychain LED,61575,https://www.kickstarter.com/projects/34951038/upgrade-your-edc-ti-tweezers-and-pocket-lumen-keyc,9.76002E-05
A premium micarta folding knife that boasts old school ruggedness in a modern design - SHIPS EARLY DECEMBER!,Ausus - A Luxury EDC Knife without the Luxury Pricetag,75245,https://www.kickstarter.com/projects/34951038/ausus-a-luxury-edc-knife-without-the-luxury-pricet,0.000119268
Projects of Earth: The evolution of the multi-tool with 26 features packed into a sleek design ready for your everyday carry adventures,The BitzBlade 2.0 - The Last Multi-Tool Youll Ever Need,121180,https://www.kickstarter.com/projects/34951038/the-bitzblade-20-the-last-multi-tool-youll-ever-ne,0.000192078
Minimalism meets Function with the RFID safe LEEF wallet and KeyKuff key holder made out of environmentally friendly wool felt.,LEEF | The PERFECT Minimalist Wallet & Key Holder,18639,https://www.kickstarter.com/projects/34951038/leef-the-perfect-minimalist-wallet-and-key-holder,2.9544E-05
A sleek and stylish Grade 5 Titanium  EDC bolt action pen complete with a 440c stainless steel blade and tungsten window punch.,"TriTac EDC Pen - Its a Pen, Its a Punch, Its a Knife",49035,https://www.kickstarter.com/projects/34951038/tritac-edc-pen-its-a-pen-its-a-punch-its-a-knife,7.77236E-05
The only way to comfortably watch your flix on your phone or tablet   & a kicking bag to carry it along with all your gear!,The DIEM Everyday Duffel Bag & ANGLZ Media Case,39241,https://www.kickstarter.com/projects/34951038/the-diem-everyday-duffel-and-anglz-media-case,6.21994E-05
A groundbreaking new design in camera straps/slings designed with an internal bungee cord system to maximize comfort,BOOMR - The Most Comfortable Camera Strap EVER!,56841,https://www.kickstarter.com/projects/34951038/boomr-the-only-bungee-camera-strap-sling,9.00966E-05
The patent-pending SuperVizor XT was designed by a Paramedic to enable you to keep a lifesaving tool within reach in every car you own!,SuperVizor XT - Auto Escape / Rescue Tool,18250.5,https://www.kickstarter.com/projects/34951038/supervizor-xt-auto-escape-rescue-tool,2.89282E-05
"A titanium EDC (everyday carry) multi-tool with interchangeable driver bits, a carbide tip window punch and a utility blade all in one.",BitzBlade - An EDC Multi-Tool Keychain in Titanium,43310,https://www.kickstarter.com/projects/34951038/bitzblade-an-edc-multi-tool-keychain-in-titanium,6.86491E-05
The patent-pending SuperVizor was designed by a Paramedic to enable you to keep a lifesaving tool within reach in every car you own!,The SuperVizor - A Visor Mounted Lifesaver!,15102,https://www.kickstarter.com/projects/34951038/the-supervizor-a-visor-mounted-lifesaver,2.39376E-05
"LIFX is a WiFi enabled, multi-color, energy efficient LED light bulb that you control with your iPhone or Android.",LIFX: The Light Bulb Reinvented,1314542.3,https://www.kickstarter.com/projects/limemouse/lifx-the-light-bulb-reinvented,0.002083632
"Easy to use, affordable & super portable. Scanbox allows you to use your smartphones camera to take amazing high quality scans.",Scanbox - Turn your iPhone into a portable scanner,184499.36,https://www.kickstarter.com/projects/limemouse/scanbox-turn-your-smartphone-into-a-portable-scann,0.000292443
Establish a perimeter around IT crime scenes with this high-visibility warning: HELPLESS LUDDITES KEEP OUT: COMPUTER REPAIR IN PROGRESS,IT Barrier Tape,13659,https://www.kickstarter.com/projects/billba/it-barrier-tape,2.16504E-05
The Mission: Build 5 Epic Wheelchair Costumes for Kids for Halloween 2015!,The Magic Wheelchair,25688,https://www.kickstarter.com/projects/magicwheelchair/the-magic-wheelchair,4.07171E-05
"As part of Projects of Earth, we present a new line of handmade, environmentally-friendly notebooks, designed for the creative mind.",Rainpaper Notebooks,8530,https://www.kickstarter.com/projects/1421716661/rainpaper-notebooks,1.35206E-05
"Meet Mr. Webby - the floppy, adorable companion of Heather Brown (AKA Spinnerette)! Now you can own your very own huggable spider!",Spinnerette presents: Mr. Webby!,26206.609,https://www.kickstarter.com/projects/spinnerette/spinnerette-presents-mr-webby,4.15391E-05
Assembled in our shop and ready to hang on your wall. Made from laser-cut textured resin laminates that will stay bright for 200 years.,Wall Buddies! Framed artwork of the Inventive Virtues.,10836.06,https://www.kickstarter.com/projects/malki/wall-buddies-framed-artwork-of-the-inventive-virtu,1.71758E-05
Custom card catalog and book drop kits made out of genuine LEGOÂ® elements.,LEGOÂ® Card Catalog and Book Drop Kits for Library Folks,35714,https://www.kickstarter.com/projects/1254039255/lego-card-catalog-and-book-drop-kits-for-library-f,5.66089E-05
"Introducing, the worlds first Disposable Single-Use Unlubricated Monocle, for the On-the-Go Gentleman (or Lady).",The Gentlemans Single-Use Monocle,127155.86,https://www.kickstarter.com/projects/weiner/the-gentlemans-single-use-monocle,0.00020155
This Deluxe Series of Ultra Action Figures continues the fun of Animal Warriors of the Kingdom Series One,Animal Warriors of the Kingdom Deluxe Action Figures!,68831,https://www.kickstarter.com/projects/thekingdomcomic/animal-warriors-of-the-kingdom-deluxe-action-figur,0.000109101
"A 4 inch scale toy line inspired by the fun & joy of the mid 70s, 80âs, and 90âs action figure eras!",Animal Warriors of the Kingdom Series 1 Action Figures,75674,https://www.kickstarter.com/projects/thekingdomcomic/animal-warriors-of-the-kingdom-series-1,0.000119948
"The Successful Shoulder Pack is back!! Plush that is functional, soft, cute and fashionable! New and improved designs.",New Dragon Shoulder Packs,27750,https://www.kickstarter.com/projects/1294326626/new-dragon-shoulder-packs,4.39855E-05
"A new category of bag in handmade leather. The sweet spot between messenger and sling bags, to carry ALL your devices.",Vortex Shadow | Handmade leather bag | A new category of bag,119366,https://www.kickstarter.com/projects/nisnas/vortex-shadow-leather-bag,0.000189203
"A beautiful handmade whisky tumbler with a one-piece oak body and stainless steel top, an exquisite drinking experience.",Madison & Oak Whisky Tumbler,57461,https://www.kickstarter.com/projects/nisnas/madison-and-oak-whisky-tumbler,9.10793E-05
"A masterfully handmade, oak honey Whiskey tumbler. A cooperative design.",Oak Honey Whiskey Tumbler,153788,https://www.kickstarter.com/projects/nisnas/oak-honey-whiskey-tumbler,0.000243764
An elevated drinking experience. Handmade craftsmanship meets a disruptive design.,Upper Cut,47883,https://www.kickstarter.com/projects/nisnas/upper-cut,7.58976E-05
Kole is a revolution. A stunning handmade thermal flask that keeps your espresso or whisky in your vest pocket. By Nisnas Industries.,"Kole, an elegant revolution in the art of drinking.",123838,https://www.kickstarter.com/projects/nisnas/kole-an-elegant-revolution-in-the-art-of-drinking,0.000196291
"Upcycle your bottles by cutting them, then use the Bottle Bit to easily sand them down. Relaunched Campaign!",Bottle Bit,21640,https://www.kickstarter.com/projects/582093084/bottle-bit,3.43008E-05
Black bamboo socks that breathe so your feet stay odour-free all day.,Oh My Sock - Sock Technology for the 21st Century,11457.654,https://www.kickstarter.com/projects/1767931966/oh-my-sock-sock-technology-for-the-21st-century,1.81611E-05
The finest wooden pens hand made from exotic and domestic hardwoods. Select your favorite wood and customize your one of a kind pen.,Customized Wooden Pens,14254,https://www.kickstarter.com/projects/923522721/customized-wooden-pens,2.25935E-05
"Better stuff for a better journey. Make/100 gear from Allegory. Beautifully Handcrafted in Chicago, guaranteed for life.",Coffee & Cream: Leather Goods to Elevate Your Day.,17766,https://www.kickstarter.com/projects/allegorypens/coffee-and-cream-leather-goods-to-elevate-your-day,2.81602E-05
"Reclaimed wood writing tools from Allegory. Pull a 5,000 year old relic from your pocket, blow peoples minds, then get the job done.",The Workhorse Collection: Pens with jaw-dropping stories.,17976,https://www.kickstarter.com/projects/allegorypens/the-workhorse-collection-rugged-pens-incredible-st,2.84931E-05
A slim rollerball pen by Allegory. Handmade from wood that helped rebuild Chicago after the fire of 1871. Only 500 will be produced.,The Holden Series - Rebuilding after the Chicago Fire.,12242,https://www.kickstarter.com/projects/allegorypens/the-holden-series-rebuilding-after-the-chicago-fir,1.94043E-05
Handcrafted from reclaimed wood steeped in history. Made  in Chicago to world class standards.,The 1941 Series - Historic Writing Instruments,26689,https://www.kickstarter.com/projects/allegorypens/the-1941-series,4.23037E-05
"Allegorys second handcrafted collection features reclaimed woods, modern design, the much loved Hi-Tec-C, and customization.",The Precision Collection ã» Writing Instruments,42947.199,https://www.kickstarter.com/projects/allegorypens/the-precision-collection-writing-instruments,6.8074E-05
"Allegory pens - made from reclaimed woods that are between 100 and 50,000 years old. Tell us what you think.",Handcrafted Reclaimed Wood Pens,16747,https://www.kickstarter.com/projects/allegorypens/handcrafted-reclaimed-wood-pens,2.6545E-05
Stays clean more often than traditional spoon rests and works great with tongs too! Youve tried the spoon restâNow try the SpoonBest!,SpoonBest: Stays Clean Often & Holds Tongs Perfectly,11088,https://www.kickstarter.com/projects/1384014771/spoonbest-elevates-kitchen-utensils-and-holds-tong,1.75752E-05
Everybody talks about Luxury...at HORAGE we talk about Premium automatic watches... Because thats how we see our products value,Next Level Swiss watch making - Multiply by Horage,144780.53,https://www.kickstarter.com/projects/1099329081/next-level-swiss-watch-making-multiply-by-horage,0.000229486
"Revolutionary new, eco-friendly notebooks & sketchbooks made from stone! Tree-free, bleach-free, and no water used in production!",Da Vinci Notebook,17154.49,https://www.kickstarter.com/projects/388011235/da-vinci-notebook,2.71909E-05
Handcrafted pens individually made from unique woods.  No two are alike.  Each pen is an original work of art inspired by,Handcrafted Original Pens - Inspired by Colorados beauty,8485,https://www.kickstarter.com/projects/1036448266/handcrafted-original-pens-inspired-by-colorados-be,1.34493E-05
A compact waterproof USB solar panel to charge in any condition.  Highest rated waterproof solar panel on the market.,The Badger: Waterproof USB Solar Charger,119933,https://www.kickstarter.com/projects/browndoggadgets/the-badger-waterproof-usb-solar-charger,0.000190101
"An inexpensive, easy to use, practical, every day solar USB system.  For those of us not just preparing for the end of the world.",Folding USB Solar Cell,193230.31,https://www.kickstarter.com/projects/browndoggadgets/folding-usb-solar-cell,0.000306282
"The best damn clip we have ever made! carry your pen, earphone, cables, keys, pin, sunglasses, business cards , money,  tools and etc",A versatile magnetic clip with 22 features | Penclip Type-B,30347.459,https://www.kickstarter.com/projects/ronandthea/a-versatile-magnetic-clip-with-22-features-penclip,4.81026E-05
A small device that sits between your video antenna and receiver to increase your video quality. Fly with less static and better video!,ClearBoost: Enhanced Video Reception for Drones and FPV,24619.283,https://www.kickstarter.com/projects/markh/clearboost-enhanced-video-reception-for-drones-and,3.90231E-05
"Precision Machined Aluminum, Balanced, Quality Luxury Playable Dice in an Aluminum Case - Bringing quality to your gaming experience.",Gravity Dice,35778.012,https://www.kickstarter.com/projects/manicgamer/gravity-dice,5.67104E-05
A cuddly tribute to the tech that changed our lives.,The Iconic Pillow Collection by Throwboy,78532,https://www.kickstarter.com/projects/throwboy/the-iconic-pillow-collection-by-throwboy,0.000124478
We need your help to showcase our award-winning jewellers at the UKs most prestigious trade fair.,Showcase our unique jewellery studio at national trade fair.,12822.171,https://www.kickstarter.com/projects/vanillaink/showcase-our-unique-jewellery-studio-at-national-t,2.03239E-05
"Turn your dull, unproductive meetings into energy-charged collaborative sessions that foster collective creativity.",mc squares: a dry-erase system for creative spaces,42122,https://www.kickstarter.com/projects/mcsquares/mc-squares-a-dry-erase-system-for-creative-spaces,6.6766E-05
Make your own light-up pop-up greeting cards with these educational kits. A fun way to learn simple circuitry and paper engineering!,Circuit Sentiments: 3 New DIY Holiday Card Designs,7725,https://www.kickstarter.com/projects/technochic/circuit-sentiments-3-new-diy-holiday-card-designs,1.22446E-05
An every day carry utility scalpel made in the USA of grade 5 titanium. Great for all occasions.,Scalpel Jones - A Titanium EDC Scalpel / Utility Knife,11000,https://www.kickstarter.com/projects/2122739158/scalpel-jones-a-titanium-edc-scalpel-utility-knife,1.74357E-05
"From herders to home, our blankets and throws are made with exotic fibers from nomadic, free-range animals on the Mongolian plains.",ULA+LIA: Cashmere and Wool Throws with Mongolian Soul,9399.6904,https://www.kickstarter.com/projects/1549499020/ula-lia-cashmere-and-wool-throws-with-mongolian-so,1.48991E-05
"Sheâs a kitty. She has Tentacles. Shes pink, people wanted more that look kind of like their own Earth Kitties. They made it happen!",Tentacle Kitty: Earth Color Little Ones,27481,https://www.kickstarter.com/projects/713699837/tentacle-kitty-earth-color-little-ones,4.35591E-05
"To celebrate my 10th Anniversary, Im bringing four new Demon ponies to life in twisted cute plush form!",My Little Demon ~ Series 3 Plush,26008,https://www.kickstarter.com/projects/1914905897/my-little-demon-series-3-plush,4.12243E-05
HATO MOA x ERICK SCARECROW present limited edition plush based on the best selling video game title.,HATOFUL BOYFRIEND OFFICIAL PLUSH PROJECT!,145015.8,https://www.kickstarter.com/projects/731983185/hatoful-boyfriend-official-plush-project,0.000229859
"Second 1/6 scale 12 inch Hotline Miami BIKER figure by Dennaton, Devolver Digital and esctoy.com. Second figure in the series.",HOTLINE MIAMI- BIKER FIGURE,70840,https://www.kickstarter.com/projects/731983185/hotline-miami-biker-figure,0.000112286
"First ever 1/6 scale 12 inch Hotline Miami Jacket articulated figure by Dennaton, Devolver Digital and esctoy.com",HOTLINE MIAMI- JACKET FIGURE,145826.86,https://www.kickstarter.com/projects/731983185/hotline-miami-jacket-figure,0.000231145
My Little Pony artist Gayle Middleton releases 7 weird babies into the mortal world...and theyre rotten-to-the-core!,"Vampyre, werewolf and zombie babies! Oh my!",31896.08,https://www.kickstarter.com/projects/2084712128/vampyre-werewolf-and-zombie-babies-oh-my,5.05573E-05
"TRAVEL JACKET with built-in Neck Pillow, Eye Mask, Gloves, Earphone Holders, Drink Pocket, Tech Pockets of all sizes! Comes in 4 Styles",The Worlds Best TRAVEL JACKET with 15 Features || BAUBAX,9192056,https://www.kickstarter.com/projects/597538543/the-worlds-best-travel-jacket-with-15-features-bau,0.014569986
"A slim RFID blocking wallet designed to not wear holes in your pocket, wont get bent out of shape and sets the bar for quality.",THE HD WALLET: A slim finely crafted minimalist wallet.,37165.02,https://www.kickstarter.com/projects/692490619/the-hd-wallet-a-finely-crafted-minimalist-wallet,5.89089E-05
A beautifully designed minimalist quartz watch paired with a 5 steps per second Swiss made movement!,ASTONCAIN | 002 - A Beautiful Minimalist Chronograph Watch,24819.9,https://www.kickstarter.com/projects/48095367/astoncain-002-a-beautiful-minimalist-chronograph-w,3.93411E-05
A beautiful minimalist watch that uses swiss components at an extremely affordable price!,ASTONCAIN: The Most Beautiful Minimalist Watch EVER!,28847.25,https://www.kickstarter.com/projects/48095367/astoncain-the-most-beautiful-minimalist-watch-ever,4.57247E-05
The worlds first Bottoms Up dispenser for 169 fl.oz partykegs. Die weltweit erste Bottoms Up Zapfanlage fÃ¼r 5 Liter PartyfÃ¤sser.,THE BEER BUDDY,76429.367,https://www.kickstarter.com/projects/beerbuddy/the-beer-buddy-0,0.000121145
Does your iPad case charge your phone? The LilyPad Case uses new solar ink to convert light into energy. It includes HDMI & More!!,LilyPad ~ Using Light to Power All Our Mobile Devices,104482,https://www.kickstarter.com/projects/davefoster/lilypad-using-light-to-power-all-our-mobile-device,0.000165611
"An American knife company dedicated to quality, craftsmanship, and customer service. All are HUMANMADE in America and around the world.",V Nives: Human Made Knives For Everyone,46698,https://www.kickstarter.com/projects/1093048856/v-nives-human-made-knives-for-everyone,7.40193E-05
"Best Earphones In The World? Its a big claim, but were making it!",PUMP & OMG Audio,58114.723,https://www.kickstarter.com/projects/2093197915/pump-omg,9.21155E-05
"Dusty-Brush is a universal vacuum cleaner attachment for the smallest areas, delicate objects and hard-to-reach areas.",Dusty-Brush - The new way to clean,431578.41,https://www.kickstarter.com/projects/885698542/dusty-brush-the-new-way-to-clean-0,0.000684079
The CruxSKUNKâ¢ Turns your iPadÂ® into a powerful laptop â SKUNKS ALL OTHER KEYBOARDS!,CruxSKUNKâ¢ - Powerful iPadÂ® Laptop,248615,https://www.kickstarter.com/projects/spywire/cruxskunktm-powerful-ipad-laptop,0.00039407
"Custom-fit earphones designed to fit your EarPrint in just 10 minutes, and stay put for any activity. Its quick, easy, and affordable.",Audibility Customs: Custom-Fit Headphones,15509,https://www.kickstarter.com/projects/audibility/audibility-customs-custom-fit-headphones,2.45827E-05
"Racing inspired automatic watches featuring exotic dial materials including Blue Carbon, Natural Meteorite, Carbon Fiber and more!",Streetmatic - The Ultimate Driving Watch by Blacklist,40293,https://www.kickstarter.com/projects/blacklist/streetmatic-the-ultimate-driving-watch-by-blacklis-0,6.38669E-05
"Handmade in Switzerland, Blacklist watches come in small numbered batches of 50 per style. Break from ordinary, wear extraordinary.",Blacklist Watches: Swiss Made Excellence,52047,https://www.kickstarter.com/projects/blacklist/blacklist-watches-swiss-made-excellence,8.24978E-05
